Season,Round,Region Number,Region Name,Seed,Score,School,School,Score,Seed,,,
1996-1997,2,3,East,4,68,villanova,california,75,5,,,
1996-1997,2,4,Southeast,1,75,kansas,purdue,61,8,,,
1996-1997,2,4,Southeast,2,87,duke,providence,98,10,,,
1996-1997,2,4,Southeast,14,75,chattanooga,illinois,63,6,,,
1996-1997,2,4,Southeast,4,73,arizona,college-of-charleston,69,12,,,
1996-1997,3,1,West,1,83,kentucky,saint-joseph's,68,4,,,
1996-1997,3,1,West,2,82,utah,stanford,77,6,,,
1996-1997,3,2,Midwest,1,90,minnesota,clemson,84,4,,,
1996-1997,3,2,Midwest,2,74,ucla,iowa-state,73,6,,,
1996-1997,3,3,East,1,63,north-carolina,california,57,5,,,
1996-1997,3,3,East,10,63,texas,louisville,78,6,,,
1996-1997,3,4,Southeast,1,82,kansas,arizona,85,4,,,
1996-1997,3,4,Southeast,10,71,providence,chattanooga,65,14,,,
1996-1997,4,1,West,1,72,kentucky,utah,59,2,,,
1996-1997,4,2,Midwest,1,80,minnesota,ucla,72,2,,,
1996-1997,4,3,East,1,97,north-carolina,louisville,74,6,,,
1996-1997,4,4,Southeast,4,96,arizona,providence,92,10,,,
1996-1997,5,1,Final Four,1,78,kentucky,minnesota,69,1,,,
1996-1997,5,2,Final Four,1,58,north-carolina,arizona,66,4,,,
1996-1997,6,1,Championship,1,79,kentucky,arizona,84,4,,,
1997-1998,1,1,East,1,88,north-carolina,navy,52,16,,,
1997-1998,1,1,East,2,93,connecticut,fairleigh-dickinson,85,15,,,
1997-1998,1,1,East,3,61,south-carolina,richmond,62,14,,,
1997-1998,1,1,East,4,83,michigan-state,eastern-michigan,71,13,,,
1997-1998,1,1,East,5,69,princeton,nevada-las-vegas,57,12,,,
1997-1998,1,1,East,6,68,xavier,washington,69,11,,,
1997-1998,1,1,East,7,94,indiana,oklahoma,87,10,,,
1997-1998,1,1,East,8,77,charlotte,illinois-chicago,62,9,,,
1997-1998,1,2,West,1,99,arizona,nicholls-state,60,16,,,
1997-1998,1,2,West,2,65,cincinnati,northern-arizona,62,15,,,
1997-1998,1,2,West,3,85,utah,san-francisco,68,14,,,
1997-1998,1,2,West,4,82,maryland,utah-state,68,13,,,
1997-1998,1,2,West,5,64,illinois,south-alabama,51,12,,,
1997-1998,1,2,West,6,74,arkansas,nebraska,65,11,,,
1997-1998,1,2,West,7,52,temple,west-virginia,82,10,,,
1997-1998,1,2,West,8,81,tennessee,illinois-state,82,9,,,
1997-1998,1,3,Midwest,1,110,kansas,prairie-view,52,16,,,
1997-1998,1,3,Midwest,2,95,purdue,delaware,56,15,,,
1997-1998,1,3,Midwest,3,67,stanford,college-of-charleston,57,14,,,
1997-1998,1,3,Midwest,4,69,mississippi,valparaiso,70,13,,,
1997-1998,1,3,Midwest,5,87,tcu,florida-state,96,12,,,
1997-1998,1,3,Midwest,6,72,clemson,western-michigan,75,11,,,
1997-1998,1,3,Midwest,7,64,st.-john's-(ny),detroit-mercy,66,10,,,
1997-1998,1,3,Midwest,8,97,rhode-island,murray-state,74,9,,,
